Date,Apple
2001-09-25,0.9723
2001-09-26,0.9479
2001-09-27,0.9704
2001-09-28,0.9704
2001-10-01,0.9723
2001-10-02,0.9416
2001-10-03,0.9372
2001-10-04,0.9936
2001-10-05,1.0098
2001-10-08,1.0136
2001-10-09,1.0011
2001-10-10,1.0524
2001-10-11,1.1099
2001-10-12,1.1268
2001-10-15,1.1256
2001-10-16,1.1268
2001-10-17,1.063
2001-10-18,1.1262
2001-10-19,1.145
2001-10-22,1.19
2001-10-23,1.135
2001-10-24,1.1856
2001-10-25,1.2006
2001-10-26,1.1681
2001-10-29,1.103
2001-10-30,1.1012
2001-10-31,1.0987
2001-11-01,1.1631
2001-11-02,1.1619
2001-11-05,1.1931
2001-11-06,1.2244
2001-11-07,1.2257
2001-11-08,1.1706
2001-11-09,1.1706
2001-11-12,1.1731
2001-11-13,1.2119
2001-11-14,1.2269
2001-11-15,1.2169
2001-11-16,1.1869
2001-11-19,1.2513
2001-11-20,1.2219
2001-11-21,1.2313
2001-11-23,1.2413
2001-11-26,1.337
2001-11-27,1.3139
2001-11-28,1.2845
2001-11-29,1.2776
2001-11-30,1.3327
2001-12-03,1.317
2001-12-04,1.4015
2001-12-05,1.4866
2001-12-06,1.4253
2001-12-07,1.4102
2001-12-10,1.4102
2001-12-11,1.3627
2001-12-12,1.3446
2001-12-13,1.3139
2001-12-14,1.2757
2001-12-17,1.2901
2001-12-18,1.3145
2001-12-19,1.3527
2001-12-20,1.2932
2001-12-21,1.3139
2001-12-24,1.3364
2001-12-26,1.3446
2001-12-27,1.3808
2001-12-28,1.4034
2001-12-31,1.3702
2002-01-02,1.4578
2002-01-03,1.4753
2002-01-04,1.4822
2002-01-07,1.4328
2002-01-08,1.4146
2002-01-09,1.3546
2002-01-10,1.3283
2002-01-11,1.317
2002-01-14,1.3233
2002-01-15,1.3577
2002-01-16,1.3001
2002-01-17,1.4065
2002-01-18,1.3871
2002-01-22,1.3652
2002-01-23,1.4403
2002-01-24,1.4522
2002-01-25,1.4547
2002-01-28,1.4559
2002-01-29,1.4434
2002-01-30,1.5072
2002-01-31,1.5466
2002-02-01,1.5272
2002-02-04,1.5861
2002-02-05,1.5923
2002-02-06,1.5435
2002-02-07,1.5204
2002-02-08,1.5035
2002-02-11,1.5629
2002-02-12,1.546
2002-02-13,1.5648
2002-02-14,1.5391
2002-02-15,1.4953
2002-02-19,1.4153
2002-02-20,1.4472
2002-02-21,1.3452
2002-02-22,1.4228
2002-02-25,1.4897
2002-02-26,1.4809
2002-02-27,1.374
2002-02-28,1.3577
2002-03-01,1.4672
2002-03-04,1.5197
2002-03-05,1.4722
2002-03-06,1.506
2002-03-07,1.5254
2002-03-08,1.5429
2002-03-11,1.5679
2002-03-12,1.5466
2002-03-13,1.5323
2002-03-14,1.5285
2002-03-15,1.561
2002-03-18,1.5479
